address,city,availability_status,latitude,longitude,station_name,pincode,pricing,state,charger_type_code,charger_type_details
"NKDA Parking Lot, Beside Axis Mall, CF Block Newtown, Action Area 1C, Newtown, Kolkata, West Bengal 700156",Kolkata,1,22.579022,88.460325,EESL Axis Mall ,700156,free,West Bengal,0,AC Charger (Slow)
"SDMC Parking, Aurbindo Market Place,Hauz Khas, New Delhi, Delhi 110016",Delhi,1,28.552074,77.203279,EESL Aurbindo Market place,110016,free,Delhi,0,AC Charger (Slow)
"Noida Authority Parking at Central Market, Sector-50, Noida-201301",Noida,1,28.5704287,77.3598121,EESL Sector 50 Market,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"Datta Digambar HPCL Service station, Yelahanka, Bangalore",Bangalore,1,13.152457,77.568071,EESL Yelahanka Bengaluru,0,free,Karnataka,0,AC Charger (Slow)
"Susma Swaraj Bhawan, MEA, New Delhi",Delhi,1,28.5958333,77.1805556, EESL Sushma Swaraj Bhawan,110011,free,Delhi,0,AC Charger (Slow)
"State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014",Ernakulam,1,9.977164,76.27777,ANERT-EESL Ernakulam Kerala,695014,free,Kerala,0,AC Charger (Slow)
"Sector 61 Opposite Shopprix Mall , Noida, Uttar Pradesh, 201305",Noida,1,28.5971047,77.3627113,EESL Shopprix Mall Noida,201305,free,Uttar Pradesh,0,AC Charger (Slow)
"EESL J-Block, Malviya Nagar, parking New Delhi",Delhi,1,28.531006,77.208693,EESL Malviya Nagar Delhi,110017,free,Delhi,0,AC Charger (Slow)
High Court Metro Station Chennai (CMRL),Chennai,1,13.088249,80.285359,EESL High court station,0,free,Tamil Nadu,0,AC Charger (Slow)
"Koyam Bedu Metro Station, Chennai (CMRL)",Chennai,1,13.074043,80.195354,EESL Koyambedu,0,free,Tamil Nadu,0,AC Charger (Slow)
"Anna Nagar East Metro Station, Chennai (CMRL)",Chennai,1,13.084713,80.219897,EESL Anna Nagar East Station,0,free,Tamil Nadu,0,AC Charger (Slow)
"Electronic City , Metro Station parking gate no.2, Noida - 201301",Noida,1,28.626475,77.375142,EESL Electronic City Metro Station,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"H Block market, Haldiram, Car parking , Sector - 63 , Noida - 201301",Noida,1,28.628915,77.375303,"EESL H-Block Market, Haldiram",201301,free,Uttar Pradesh,0,AC Charger (Slow)
Nandanam Metro station Chennai (CMRL),Chennai,1,13.031759,80.241923,Chennai Metro Nandanam Station,0,free,Tamil Nadu,0,AC Charger (Slow)
"Nagpur Airport Metro Station, Nagpur",Nagpur,1,21.0870127,79.0636227,EESL Nagpur,440005,free,Maharashtra,0,AC Charger (Slow)
"Noida Authority Parking, near metro station, sector-16, Noida-201301",Noida,1,28.578614,77.317483,EESL Sector 16 Near Metro Station Noida,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"Secretariat Office, Goa",Goa,1,15.5108,73.8368,EESL EDC Parking Goa,403521,free,Goa,0,AC Charger (Slow)
"Prithviraj Market, Rabindra Nagar, New Delhi- 110003",Delhi,1,28.600735,77.226277,EESL Prithviraj Market,110003,free,Delhi,0,AC Charger (Slow)
"Outside RWA Park, Jor Bagh Market, Jor Bagh Colony Road, New Delhi- 110003",Delhi,1,28.588117,77.217564,EESL Jor Bagh Market,110003,free,Delhi,0,AC Charger (Slow)
"Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003",Delhi,1,28.580532,77.221048,EESL Khanna Market 1,110003,free,Delhi,0,AC Charger (Slow)
"Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003",Delhi,1,28.584365,77.22054,EESL Khanna Market 2,110003,free,Delhi,0,AC Charger (Slow)
"Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021",Delhi,1,28.601809,77.186432,EESL Malcha Marg Market,110021,free,Delhi,0,AC Charger (Slow)
"Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place, New Delhi- 110001",Delhi,1,28.632973,77.222937,EESL M Block,110001,free,Delhi,0,AC Charger (Slow)
